,一、营业总收入_利润,营业收入_利润,税金及附加_利润,销售费用_利润,管理费用_利润,研发费用_利润,财务费用_利润,其中：利息费用_利润,其中：利息收入_利润,投资收益_利润,其中：对联营企业和合营企业的投资收益_利润,公允价值变动收益_利润,资产处置收益_利润,资产减值损失_利润,信用减值损失_利润,营业利润_利润,利润总额_利润,净利润_利润,持续经营净利润_利润,归属于母公司所有者的净利润_利润,少数股东损益_利润,基本每股收益_利润,稀释每股收益_利润,所得税费用_利润,index_deduct_holder_net_profit_利润,minority_common_profit_total_利润,minority_comprehensive_income_利润,营业外支出_利润,营业外收入_利润,营业成本_利润,其他综合收益_利润,其他收益_利润,parent_other_comprehensive_income_利润,货币资金_资产,交易性金融资产_资产,应收账款_资产,应收票据及应收账款_资产,预付款项_资产,其他应收款_资产,存货_资产,其他流动资产_资产,流动资产合计_资产,无形资产_资产,长期股权投资_资产,商誉_资产,递延所得税资产_资产,其他非流动资产_资产,非流动资产合计_资产,短期借款_资产,应付账款_资产,预收款项_资产,合同负债_资产,应付职工薪酬_资产,应交税费_资产,其他应付款_资产,一年内到期的非流动负债_资产,其他流动负债_资产,流动负债合计_资产,长期借款_资产,应付债券_资产,递延所得税负债_资产,其他非流动负债_资产,非流动负债合计_资产,资本公积_资产,盈余公积_资产,未分配利润_资产,归属于母公司所有者权益合计_资产,少数股东权益_资产,所有者权益（或股东权益）合计_资产,资产合计_资产,负债合计_资产,其中：应收票据_资产,其他应收款合计_资产,其中：应收利息_资产,划分为持有待售的资产_资产,一年内到期的非流动资产_资产,总现金_资产,可供出售金融资产_资产,其他权益工具投资_资产,投资性房地产_资产,固定资产合计_资产,其中：固定资产_资产,固定资产清理_资产,在建工程合计_资产,其中：在建工程_资产,工程物资_资产,长期待摊费用_资产,以公允价值计量且其变动计入当期损益的金融负债_资产,应付票据及应付账款_资产,其中：应付票据_资产,其他应付款合计_资产,其中：应付利息_资产,应付股利_资产,长期应付款合计_资产,其中：长期应付款_资产,专项应付款_资产,预计负债_资产,递延收益-非流动负债_资产,实收资本（或股本）_资产,减：库存股_资产,其他综合收益_资产,负债和所有者权益（或股东权益）合计_资产,销售商品、提供劳务收到的现金_现金流,收到的税费与返还_现金流,收到其他与经营活动有关的现金_现金流,经营活动现金流入小计_现金流,购买商品、接受劳务支付的现金_现金流,支付给职工以及为职工支付的现金_现金流,支付的各项税费_现金流,支付其他与经营活动有关的现金_现金流,经营活动现金流出小计_现金流,经营活动产生的现金流量净额_现金流,收回投资收到的现金_现金流,取得投资收益收到的现金_现金流,处置固定资产、无形资产和其他长期资产收回的现金净额_现金流,收到其他与投资活动有关的现金_现金流,投资活动现金流入小计_现金流,购建固定资产、无形资产和其他长期资产支付的现金_现金流,投资支付的现金_现金流,投资活动现金流出小计_现金流,投资活动产生的现金流量净额_现金流,吸收投资收到的现金_现金流,取得借款收到的现金_现金流,筹资活动现金流入小计_现金流,偿还债务支付的现金_现金流,分配股利、利润或偿付利息支付的现金_现金流,筹资活动现金流出小计_现金流,筹资活动产生的现金流量净额_现金流,现金及现金等价物净增加额_现金流,加：期初现金及现金等价物余额_现金流,期末现金及现金等价物余额_现金流,取得子公司及其他营业单位支付的现金净额_现金流,支付其他与投资活动有关的现金_现金流,其中：子公司吸收少数股东投资收到的现金_现金流,收到其他与筹资活动有关的现金_现金流,其中：子公司支付给少数股东的股利、利润_现金流,支付其他与筹资活动有关的现金_现金流,四、汇率变动对现金及现金等价物的影响_现金流,五、现金及现金等价物净增加额_现金流,六、期末现金及现金等价物余额_现金流,净利润_现金流,加：资产减值准备_现金流,固定资产折旧、油气资产折耗、生产性生物资产折旧_现金流,无形资产摊销_现金流,长期待摊费用摊销_现金流,处置固定资产、无形资产和其他长期资产的损失_现金流,固定资产报废损失_现金流,公允价值变动损失_现金流,财务费用_现金流,投资损失_现金流,递延所得税资产减少_现金流,递延所得税负债增加_现金流,存货的减少_现金流,经营性应收项目的减少_现金流,经营性应付项目的增加_现金流,其他_现金流,间接法-经营活动产生的现金流量净额_现金流,现金的期末余额_现金流,减：现金的期初余额_现金流,间接法-现金及现金等价物净增加额_现金流
2016年报,78542441757.19,78542441757.19,3629619040.93,5293744700.63,5128856385.18,0.0,-305390915.29,0.0,0.0,9619016254.57,9563723801.4,0.0,-26176073.44,468851401.15,0.0,9431995417.14,10349824780.25,10276594658.84,10276594658.84,10285284120.57,-8689461.73,2.19,0.0,73230121.41,9448723644.17,-8689461.73,0.0,57631590.65,975460953.76,78703286521.18,-100629936.31,0.0,-100629936.31,24783000000.0,0.0,1499000000.0,30501000000.0,1061000000.0,1403000000.0,7304000000.000001,926000000.0,65998000000.0,3445000000.0,14743000000.0,9804400.0,1448000000.0,0.0,40513000000.0,175000000.0,19881000000.0,6854000000.000001,0.0,1840000000.0,556000000.0,1449000000.0,1992000000.0,4212000000.0,59994000000.00001,19980900.0,0.0,34535300.0,0.0,3163000000.0,5085000000.0,2401000000.0,31127000000.0,43574000000.0,-221000000.0,43353000000.0,106510000000.0,63157000000.00001,29003000000.0,1423000000.0,19318100.0,0.0,0.0,24783000000.0,432000000.0,0.0,7783000.0,15480000000.0,15480000000.0,0.0,3822000000.0,3822000000.0,96700.0,13448400.0,0.0,40833000000.0,20952000000.0,1523000000.0,73458000.0,79700.0,217000000.0,0.0,217000000.0,0.0,2786000000.0,4803000000.0,0.0,141000000.0,106510000000.0,78942000000.0,179000000.0,1356000000.0,80477000000.0,59116000000.0,5550000000.0,6902000000.0,6623000000.0,78190000000.0,2287000000.0,0.0,9799000000.0,2799400.0,280000000.0,10082000000.0,4645000000.0,0.0,4645000000.0,5437000000.0,1984000000.0,168000000.0,2153000000.0,9639000.0,3111000000.0,4603000000.0,-2450000000.0,5268000000.0,17726000000.0,22993000000.0,0.0,0.0,0.0,1110000.0,0.0,1482000000.0,-6605000.0,5268000000.0,22993000000.0,10277000000.0,469000000.0000001,1780000000.0,504000000.0,2771900.0,26176100.0,0.0,0.0,122000000.0,-9619000000.0,-31996100.0,0.0,688000000.0,-8528000000.0,6772000000.0,4449000.0,2287000000.0,22993000000.0,17726000000.0,5268000000.0
2016Q1,19337756565.65,19337756565.65,878762709.46,1245628687.54,906143346.43,0.0,-43658323.21,0.0,0.0,2417713930.5,2417713930.5,0.0,0.0,6984259.47,0.0,2486668691.73,2665186729.18,2660234013.88,0.0,2673017139.39,-12783125.51,0.57,0.0,4952715.3,2529388182.32,0.0,0.0,24603975.77,203122013.22,19268801804.42,0.0,0.0,0.0,18717000000.0,0.0,1270000000.0,24141000000.0,670000000.0,1300000000.0,8935000000.0,10476500.0,53832000000.00001,2975000000.0,17324000000.0,9804400.0,1424000000.0,0.0,40956000000.0,165000000.0,15768000000.0,7447000000.0,0.0,1319000000.0,564000000.0,1855000000.0,0.0,3706000000.0,51053000000.0,0.0,1976000000.0,43255100.0,0.0,6933000000.0,3227000000.0,2331000000.0,26572000000.0,37026000000.0,-224000000.0,36801000000.0,94788000000.0,57986000000.0,22872000000.0,1358000000.0,34362700.0,0.0,0.0,18717000000.0,480999999.9999999,0.0,7953000.0,13631000000.0,13630000000.0,285600.0,4082000000.0,4082000000.0,96700.0,13931900.0,0.0,35898000000.0,20130000000.0,1954000000.0,99693000.0,79700.0,159000000.0,0.0,159000000.0,1993000000.0,2637000000.0,4663000000.0,0.0,200000000.0,94788000000.0,20795000000.0,97491100.0,556000000.0,21448000000.0,14341000000.0,2012000000.0,1775000000.0,1705000000.0,19833000000.0,1615000000.0,0.0,0.0,57200.0,0.0,57200.0,1046000000.0,0.0,1046000000.0,-1046000000.0,0.0,115000000.0,147000000.0,0.0,1938600.0,23673600.0,123000000.0,692000000.0,17726000000.0,18418000000.0,0.0,0.0,0.0,31766800.0,0.0,21735100.0,91400.0,692000000.0,18418000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016Q2,35801762921.25,35801762921.25,1574338990.15,2120708553.33,2212296933.23,0.0,-107788565.12,0.0,0.0,5208991269.98,5204376269.98,0.0,0.0,142232585.34,0.0,5201627508.62,5706298099.54,5476751600.38,0.0,5490988582.32,-14236981.94,1.18,1.18,229546499.16,5051311451.92,-14236981.94,0.0,33752670.96,538423261.88,35809126682.61,-94240769.25,0.0,0.0,21358000000.0,0.0,1480000000.0,21313000000.0,991000000.0,1237000000.0,10212000000.0,6933500.0,55159000000.0,3449000000.0,15781000000.0,9804400.0,1344000000.0,0.0,40320000000.0,166000000.0,15782000000.0,7214000000.0,0.0,1038000000.0,64371500.0,1799000000.0,1977000000.0,4098000000.0,54304999999.99999,0.0,0.0,36546800.0,0.0,4602000000.0,3227000000.0,2331000000.0,26402000000.0,36797000000.0,-226000000.0,36572000000.0,95479000000.0,58907000000.00001,19833000000.0,1278000000.0,16881900.0,0.0,0.0,21358000000.0,437000000.0,0.0,7896300.0,13777000000.0,13777000000.0,0.0,4652000000.0,4652000000.0,96700.0,13848500.0,0.0,37927000000.0,22144000000.0,1820000000.0,20988000.0,79700.0,168000000.0,8140200.0,160000000.0,1698000000.0,2599000000.0,4663000000.0,0.0,148000000.0,95479000000.0,40846000000.0,166000000.0,695000000.0,41707000000.0,27753000000.0,3209000000.0,3038000000.0,3086000000.0,37086000000.0,4621000000.0,0.0,4335000000.0,1307200.0,500000.0,4336000000.0,2655000000.0,0.0,2655000000.0,1681000000.0,0.0,115000000.0,176000000.0,0.0,3091000000.0,3111000000.0,-2935000000.0,3364000000.0,17726000000.0,21090000000.0,0.0,7400.0,0.0,61286100.0,0.0,20368600.0,-2764000.0,3364000000.0,21090000000.0,5477000000.0,142000000.0,1232000000.0,246000000.0,168600.0,894100.0,0.0,0.0,-108000000.0,-5209000000.0,72097500.0,0.0,-2083000000.0,1870000000.0,2960000000.0,20271100.0,4621000000.0,21090000000.0,17726000000.0,3364000000.0
2016Q3,53606996053.51,53606996053.51,2369204402.58,3464465744.94,3567235667.4,0.0,-180127064.04,0.0,0.0,7566389659.71,7561774659.71,0.0,0.0,144954325.8,0.0,7410398748.82,7943437239.01,7724128543.25,0.0,7739348328.21,-15219784.96,1.66,1.66,219308695.76,7275779037.42,-15219784.96,0.0,53845363.46,586883853.65,53762986964.4,-93933964.78,0.0,0.0,25103000000.0,0.0,1518000000.0,21622000000.0,880000000.0000001,1131000000.0,9296000000.0,1110400.0,58041000000.0,3369000000.0,17265000000.0,9804400.0,1398000000.0,3100.0,42577000000.0,175000000.0,15505000000.0,7887000000.0,0.0,1237000000.0,947000000.0000001,1774000000.0,1985000000.0,4354000000.0,54996000000.0,26641200.0,0.0,37603400.0,1984000000.0,6802000000.0,3227000000.0,2331000000.0,28651000000.0,39047000000.0,-227000000.0,38820000000.0,100618000000.0,61798000000.0,20104000000.0,1138000000.0,6849100.0,0.0,0.0,25103000000.0,434999999.9999999,0.0,50068700.0,14925000000.0,14925000000.0,11200.0,4071000000.0,4071000000.0,96700.0,14117400.0,0.0,36590000000.0,21084000000.0,1822000000.0,47223000.0,79700.0,256000000.0,6547100.0,249000000.0,1835000000.0,2567000000.0,4663000000.0,0.0,148000000.0,100618000000.0,60072000000.0,197000000.0,1235000000.0,61504000000.0,42166000000.0,4251000000.0,3857000000.0,4738000000.0,55011000000.0,6493000000.000001,0.0,5208000000.0,2144800.0,0.0,5210000000.0,3668000000.0,0.0,3668000000.0,1543000000.0,1984000000.0,163000000.0,2157000000.0,4639400.0,3101000000.0,3588000000.0,-1431000000.0,6595999999.999999,17726000000.0,24321000000.0,0.0,20800.0,0.0,9597500.0,0.0,482000000.0,-8455500.0,6595999999.999999,24321000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017年报,80012205182.37,80012205182.37,3074023009.42,3978124859.65,2663645058.45,2616651435.07,-524973961.02,48334684.86,609804833.96,6906324932.2,6854896911.97,0.0,41774452.23,251517154.6,0.0,7151627486.37,7180889557.21,7208437270.06,7208437270.06,7137234723.47,71202546.59,1.49,0.0,-27547712.85,5716114648.34,71202546.59,0.0,75068057.28,104330128.12,81422020297.02,-58521484.39,1613343216.59,-58521484.39,22632000000.0,0.0,1807000000.0,30963000000.0,1102000000.0,1645000000.0,4666000000.0,1706000000.0,62757000000.00001,4048000000.0,14099000000.0,9804400.0,1534000000.0,0.0,43368000000.0,185000000.0,21903000000.0,3878000000.0,0.0,1641000000.0,394000000.0,2599000000.0,13151900.0,3562000000.0,54603000000.0,6576000.0,0.0,21222800.0,0.0,4059000000.0,5099000000.0,2401000000.0,35184000000.0,47599000000.0,-136000000.0,47463000000.0,106125000000.0,58662000000.0,29156000000.0,1687000000.0,42184300.0,0.0,0.0,22632000000.0,542000000.0,0.0,7556300.0,19045000000.0,19045000000.0,4700.0,3234000000.0,3234000000.0,0.0,13545600.0,0.0,39906000000.0,18003000000.0,2599000000.0,0.0,79700.0,291000000.0,0.0,291000000.0,0.0,3628000000.0,4803000000.0,0.0,82959400.0,106125000000.0,84930000000.0,294000000.0,3750000000.0,88974000000.0,72951000000.0,5706000000.0,5152000000.0,6289000000.0,90097000000.0,-1123000000.0,7069600.0,8727000000.0,25865700.0,0.0,8760000000.0,3309000000.0,1270000000.0,4578000000.0,4182000000.0,0.0,185000000.0,1164000000.0,2169000000.0,3200000000.0,5739000000.0,-4575000000.0,-1542000000.0,22993000000.0,21451000000.0,0.0,0.0,0.0,978999999.9999999,0.0,370000000.0,-25573900.0,-1542000000.0,21451000000.0,7208000000.0,252000000.0,1915000000.0,647000000.0,565400.0,-41774500.0,0.0,0.0,48334700.0,-6906000000.0,-86250500.0,0.0,2555000000.0,-2178000000.0,-4479000000.0,25701900.0,-1123000000.0,21451000000.0,22993000000.0,-1542000000.0
2017Q1,17667498708.59,17667498708.59,821999049.49,1261065351.21,642428393.22,0.0,-116396575.66,0.0,0.0,2223145550.04,2223145550.04,0.0,-832329.25,-700101.76,0.0,2436585135.83,2448599271.79,2390878919.92,0.0,2401344788.39,-10465868.47,0.5,0.5,57720351.87,2271469057.47,-10465868.47,0.0,1660145.42,13674281.38,17599041756.59,-10057990.11,145814963.04,0.0,28328000000.0,0.0,2427000000.0,25880000000.0,1323000000.0,1835000000.0,9971000000.0,1344000000.0,68717999999.99999,3776000000.0,16967000000.0,9804400.0,1567000000.0,101000000.0,42976000000.0,201000000.0,19272000000.0,9064000000.0,0.0,818000000.0,461000000.0000001,1482000000.0,1986000000.0,4265000000.0,60391000000.0,19980900.0,0.0,8742600.0,0.0,5563000000.0,5085000000.0,2401000000.0,33528000000.0,45971000000.0,-231000000.0,45740000000.0,111694000000.0,65954000000.0,23452000000.0,1872000000.0,37065900.0,0.0,0.0,28328000000.0,400000000.0,0.0,49747000.0,15340000000.0,15340000000.0,178400.0,3849000000.0,3849000000.0,0.0,13529100.0,0.0,42012000000.0,22740000000.0,1582000000.0,99693000.0,79700.0,276000000.0,3290900.0,273000000.0,2401000000.0,2755000000.0,4803000000.0,0.0,131000000.0,111694000000.0,26591000000.0,29727100.0,617000000.0,27238000000.0,16962000000.0,2073000000.0,2207000000.0,1670000000.0,22911000000.0,4326000000.0,0.0,0.0,217300.0,0.0,217300.0,704000000.0,101000000.0,805000000.0000001,-805000000.0000001,0.0,186000000.0,626000000.0,160000000.0,3110500.0,165000000.0,459999999.9999999,3983000000.0,22993000000.0,26976000000.0,0.0,13300.0,0.0,438999999.9999999,0.0,2362400.0,577400.0,3983000000.0,26976000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,33555213109.46,33555213109.46,1443786480.14,2004176042.01,1785734071.11,0.0,-246821602.15,0.0,0.0,3831618978.64,3831618978.64,0.0,8914486.07,92122720.46,0.0,4677828078.14,4708458706.21,4667462601.55,4667462601.55,4620545739.52,46916862.03,0.96,0.96,40996104.66,3556761447.08,46916862.03,0.0,12865146.02,43495774.09,33871753401.89,-49271529.86,1153834905.86,0.0,27882000000.0,0.0,1900000000.0,23635000000.0,1274000000.0,1110000000.0,10766000000.0,1841000000.0,66576000000.0,3830000000.0,14117000000.0,9804400.0,1517000000.0,3100.0,40707000000.0,189000000.0,17078000000.0,9232000000.0,0.0,911999999.9999999,360000000.0,1719000000.0,6461799.999999999,3926000000.0,56114000000.0,19980900.0,0.0,28451200.0,0.0,6243000000.0,5110000000.0,2401000000.0,32667000000.0,45100000000.0,-174000000.0,44926000000.0,107283000000.0,62355999999.99999,21735000000.0,1176000000.0,66275000.0,0.0,0.0,27882000000.0,569000000.0,0.0,7669600.0,15653000000.0,15653000000.0,198100.0,4054000000.0,4054000000.0,0.0,13670300.0,0.0,39770000000.0,22692000000.0,1719000000.0,0.0,79700.0,244000000.0,1727800.0,243000000.0,2339000000.0,3513000000.0,4803000000.0,0.0,92209400.0,107283000000.0,46780000000.0,141000000.0,2518000000.0,49439000000.0,34870000000.0,3158000000.0,3358000000.0,3093000000.0,44480000000.0,4960000000.0,0.0,4458000000.0,12051600.0,630000000.0,5100000000.0,1761000000.0,101000000.0,1862000000.0,3237000000.0,0.0,186000000.0,935000000.0,2140000000.0,3168000000.0,5342000000.0,-4407000000.0,3816000000.0,22993000000.0,26809000000.0,0.0,0.0,0.0,750000000.0,0.0,33855600.0,25338100.0,3816000000.0,26809000000.0,4667000000.0,92122700.0,1086000000.0,308000000.0,154200.0,-8972000.0,0.0,0.0,-247000000.0,-3832000000.0,-69564800.0,0.0,-3462000000.0,6029000000.0,403000000.0,-6506799.999999999,4960000000.0,26809000000.0,22993000000.0,3816000000.0
2017Q3,51431180946.38,51431180946.38,2050729598.01,2350906633.64,2251689667.31,771498144.76,-392120666.68,44997797.59,461863500.63,5550949277.61,5547399277.64,0.0,9430234.25,91371764.21,0.0,5741733865.85,5837844998.91,5849079377.87,5849079377.87,5810596533.93,38482843.94,1.21,1.21,-11234378.96,4638654413.67,38482843.94,0.0,15679452.21,111790585.27,52494690330.87,-4880856.36,1244863738.48,-4880856.36,23992000000.0,0.0,1996000000.0,23361000000.0,1832000000.0,1186000000.0,9876000000.0,1913000000.0,62188000000.0,4071000000.0,14734000000.0,9804400.0,1547000000.0,3100.0,42191000000.0,182000000.0,17781000000.0,7755000000.0,0.0,984000000.0,343000000.0,1730000000.0,13151900.0,3056000000.0,51647000000.0,6576000.0,0.0,29591600.0,0.0,6577000000.0,5110000000.0,2401000000.0,33857000000.0,46338000000.0,-182000000.0,46156000000.0,104379000000.0,58223000000.0,21364000000.0,1214000000.0,28195300.0,0.0,0.0,23992000000.0,586000000.0,0.0,7613000.0,16139000000.0,16139000000.0,203800.0,4286000000.0,4286000000.0,0.0,13901600.0,0.0,37583000000.0,19802000000.0,1730000000.0,0.0,79700.0,290000000.0,1741000.0,288000000.0,2524000000.0,3630000000.0,4803000000.0,0.0,137000000.0,104379000000.0,64566999999.99999,179000000.0,3119000000.0,67866000000.0,54247000000.0,4310000000.0,3981000000.0,4580000000.0,67117999999.99999,748000000.0,0.0,5561000000.0,12338000.0,630000000.0,6202000000.0,2457000000.0,101000000.0,2558000000.0,3644000000.0,0.0,196000000.0,860000000.0,2177000000.0,3195000000.0,5501000000.0,-4641000000.0,-255000000.0,22993000000.0,22739000000.0,0.0,0.0,0.0,665000000.0,0.0,129000000.0,-6043800.0,-255000000.0,22739000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018年报,66298270389.77,66298270389.77,2305917984.34,5283255346.48,2141231988.91,3184788921.68,-427062035.06,11700010.25,476922766.94,-71306776.79,-331883560.67,0.0,8561074.73,-238554564.69,0.0,-201438349.91,658225323.83,723359381.87,723359381.87,680728392.03,42630989.84,0.14,0.0,-65134058.04,-3165070272.21,42630989.84,0.0,56555550.94,916219224.68,69071600575.49,152550506.6,2873192102.56,152550506.6,9981000000.0,0.0,1409000000.0,21971000000.0,866000000.0,0.0,4917000000.0,2245000000.0,43213000000.0,5018000000.0,13275000000.0,9804400.0,1656000000.0,0.0,50276000000.0,190000000.0,13916000000.0,1556000000.0,0.0,1363000000.0,669000000.0,3080000000.0,6594100.0,4325000000.0,43160000000.0,0.0,0.0,135000000.0,0.0,4176000000.0,5057000000.0,2401000000.0,33707000000.0,46245000000.0,-92036700.0,46153000000.0,93489000000.0,47336000000.0,20562000000.0,3233000000.0,0.0,0.0,0.0,9981000000.0,1958000000.0,0.0,7329600.0,22161000000.0,22161000000.0,0.0,5384000000.0,5384000000.0,0.0,17104600.0,0.0,28724000000.0,14808000000.0,3080000000.0,0.0,79700.0,304000000.0,0.0,0.0,0.0,3683000000.0,4803000000.0,0.0,236000000.0,93489000000.0,76765000000.0,463999999.9999999,4768000000.0,81997000000.0,70505000000.0,6114000000.0,2496000000.0,6769000000.0,85884000000.0,-3887000000.0,0.0,1409000000.0,42904500.0,1036000000.0,2489000000.0,6488000000.0,2035000000.0,9057000000.0,-6569000000.0,0.0,340000000.0,1195000000.0,348000000.0,2169000000.0,2548000000.0,-1353000000.0,-11803000000.0,21451000000.0,9648000000.0,534000000.0,0.0,0.0,855000000.0000001,0.0,30344200.0,5731799.999999999,-11803000000.0,9648000000.0,723000000.0,239000000.0,2335000000.0,766000000.0,3916600.0,-8561100.0,0.0,0.0,11700000.0,71306800.0,-122000000.0,-2794100.0,162000000.0,7013000000.0,-14322000000.0,-810000000.0,-3887000000.0,9648000000.0,21451000000.0,-11803000000.0
2018Q1,20010746940.77,20010746940.77,733870230.8,1244708672.52,660215017.26,265386051.26,-124880508.71,0.0,0.0,1148431489.58,1148431489.57,0.0,3187946.74,1352834.57,0.0,1385455951.25,1374872339.18,1357204965.11,1357204965.11,1391793407.67,-34588442.56,0.29,0.29,17667374.07,896758297.55,-34588442.56,0.0,24442068.39,13858456.32,20389516370.09,-29597039.17,612605944.25,-29597039.17,23561000000.0,0.0,2058000000.0,28258000000.0,1458000000.0,2057000000.0,5144000000.0,1488000000.0,62024000000.0,4046000000.0,15247000000.0,9804400.0,1552000000.0,3100.0,45142000000.0,170000000.0,21148000000.0,3519000000.0,0.0,896000000.0000001,234000000.0,1929000000.0,13423400.0,3894000000.0,51313000000.0,0.0,0.0,21840500.0,0.0,7054000000.000001,5099000000.0,2401000000.0,36576000000.0,48969000000.0,-170000000.0,48799000000.0,107166000000.0,58366999999.99999,26200000000.0,2115000000.0,57507100.0,0.0,0.0,23561000000.0,532000000.0,0.0,7499600.0,18779000000.0,18779000000.0,19400.0,4056000000.0,4056000000.0,0.0,14142200.0,0.0,40658000000.0,19509000000.0,1929000000.0,0.0,79700.0,294000000.0,0.0,294000000.0,2759000000.0,3872000000.0,4803000000.0,0.0,53362400.0,107166000000.0,24814000000.0,156000000.0,1228000000.0,26198000000.0,18818000000.0,2032000000.0,966000000.0,1745000000.0,23562000000.0,2636000000.0,0.0,0.0,811700.0,0.0,811700.0,1685000000.0,0.0,1685000000.0,-1684000000.0,0.0,150000000.0,933000000.0,171000000.0,3061400.0,174000000.0,759000000.0,1713000000.0,21478000000.0,23191000000.0,0.0,0.0,0.0,783000000.0,0.0,0.0,1597000.0,1713000000.0,23191000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q2,35642832190.04,35642832190.04,1286915201.57,2543462428.51,1048876421.66,1106524840.39,-225518842.31,13996367.31,263722875.78,1362011815.11,1362011815.11,0.0,18771809.69,-108941422.42,0.0,1655799857.47,1632769991.3,1617481673.47,1617481673.47,1609606578.84,7875094.63,0.34,0.34,15288317.83,695716688.41,7875094.63,0.0,52348762.93,29318896.76,36375105754.27,247029533.59,1116231219.32,247029533.59,24068000000.0,0.0,1926000000.0,20316000000.0,1004000000.0,2097000000.0,4726000000.0,2195000000.0,54461000000.0,4011000000.0,15638000000.0,9804400.0,1562000000.0,0.0,45950000000.0,186000000.0,15502000000.0,1935000000.0,0.0,775000000.0,207000000.0,1820000000.0,13423400.0,3792000000.0,46611000000.0,0.0,0.0,17069300.0,0.0,6612000000.0,5099000000.0,2401000000.0,34636000000.0,47315000000.0,-128000000.0,47188000000.0,100411000000.0,53223000000.0,18390000000.0,2152000000.0,55081300.0,0.0,0.0,24068000000.0,564000000.0,0.0,7442900.0,18458000000.0,18457000000.0,1342900.0,4728000000.0,4728000000.0,0.0,14569100.0,0.0,35724000000.0,20223000000.0,3978000000.0,0.0,2158000000.0,217000000.0,0.0,217000000.0,2542000000.0,3731000000.0,4803000000.0,0.0,330000000.0,100411000000.0,47599000000.0,196000000.0,1721000000.0,49516000000.0,36479000000.0,3423000000.0,1795000000.0,3417000000.0,45115000000.0,4401000000.0,0.0,115000000.0,18444100.0,17358800.0,150000000.0,3071000000.0,52243800.0,3124000000.0,-2973000000.0,0.0,166000000.0,1046000000.0,171000000.0,5326900.000000001,177000000.0,869999999.9999999,2316000000.0,21451000000.0,23768000000.0,0.0,0.0,0.0,880000000.0000001,0.0,0.0,18804300.0,2316000000.0,23768000000.0,1617000000.0,109000000.0,1046000000.0,350000000.0,113400.0,18771800.0,0.0,0.0,-226000000.0,-1362000000.0,-28289500.0,0.0,-60238100.00000001,9805000000.0,-6909999999.999999,42062500.0,4401000000.0,23768000000.0,21451000000.0,2316000000.0
2018Q3,49851658390.16,49851658390.16,1772568209.15,3912993343.98,2255596087.56,1362531453.29,-343058447.47,0.0,0.0,1232775886.06,1231574015.78,0.0,21092069.59,-110737599.36,0.0,1181154002.7,1166435419.81,1171067950.13,0.0,1163081476.01,7986474.12,0.24,0.0,-4632530.32,-15753465.6,7986474.12,0.0,65440559.88,50721976.99,51224849363.25,264469400.98,1411214619.5,264469400.98,15641000000.0,0.0,2364000000.0,18844000000.0,1078000000.0,0.0,6445000000.0,1755000000.0,45983000000.0,4211000000.0,16222000000.0,9804400.0,1575000000.0,534000000.0,48662000000.0,186000000.0,0.0,2485000000.0,0.0,840000000.0,301000000.0,0.0,6594100.0,4086000000.0,41328000000.0,0.0,0.0,15578300.0,0.0,6554000000.000001,5099000000.0,2401000000.0,34189000000.0,46891000000.0,-128000000.0,46763000000.0,94645000000.0,47882000000.0,16479000000.0,2221000000.0,0.0,0.0,0.0,15641000000.0,554000000.0,0.0,7386200.0,18584000000.0,18584000000.0,0.0,6019000000.0,6019000000.0,0.0,15437000.0,0.0,31593000000.0,0.0,1831000000.0,0.0,0.0,310000000.0,310000000.0,0.0,2548000000.0,3577000000.0,4803000000.0,0.0,347000000.0,94645000000.0,64291000000.0,728000000.0,2686000000.0,67705999999.99999,54305999999.99999,4782000000.0,2212000000.0,5482000000.0,66782000000.00001,924000000.0,0.0,1347000000.0,23899800.0,26358800.0,1397000000.0,4609000000.0,2541000000.0,7150000000.0,-5753000000.0,0.0,176000000.0,959000000.0,188000000.0,2172000000.0,2360000000.0,-1401000000.0,-6208000000.0,21451000000.0,15243000000.0,0.0,0.0,0.0,783000000.0,0.0,0.0,22636800.0,-6208000000.0,15243000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
